Team,Pos,Name,Height,Caps,Goals
Algeria,GK,MASTIL Melvin,194,2,0
Algeria,DF,MANDI Aissa,184,119,8
Algeria,DF,ABADA Achref,185,10,1
Algeria,DF,TOUGAI Mohamed Amine,186,30,2
Algeria,DF,BELAID Zineddine,186,18,1
Algeria,MF,ZERROUKI Ramiz,183,53,3
Algeria,FW,MAHREZ Riyad,179,116,38
Algeria,MF,AOUAR Houssem,175,23,6
Algeria,FW,GOUIRI Amine,180,23,10
Algeria,MF,CHAIBI Fares,183,31,3
Algeria,FW,HADJ MOUSSA Anis,176,15,2
Algeria,FW,BENBOUALI Nadhir,190,4,1
Algeria,DF,HADJAM Jaouen,185,18,3
Algeria,MF,BOUDAOUI Hicham,175,34,0
Algeria,DF,AIT-NOURI Rayan,180,30,0
Algeria,GK,BENBOT Oussama,188,3,0
Algeria,DF,BELGHALI Ra k,180,13,1
Algeria,FW,AMOURA Mohamed,170,47,19
Algeria,MF,BENTALEB Nabil,189,60,6
Algeria,FW,BOULBINA Adil,183,11,5
Algeria,DF,BENSEBAINI Ramy,187,82,9
Algeria,MF,MAZA Ibrahim,180,17,2
Algeria,GK,ZIDANE Luca,183,7,0
Algeria,MF,TITRAOUI Yassine,180,5,0
Algeria,FW,GHEDJEMIS Fares,183,1,1
Algeria,DF,CHERGUI Samir,185,5,0
Argentina,GK,MUSSO Juan,193,4,0
Argentina,DF,BALERDI Leonardo,188,11,0
Argentina,DF,TAGLIAFICO Nicolas,172,76,1
Argentina,DF,MONTIEL Gonzalo,175,39,2
Argentina,MF,PAREDES Leandro,182,77,5
Argentina,DF,MARTINEZ Lisandro,175,28,1
Argentina,MF,DE PAUL Rodrigo,178,87,2
Argentina,MF,BARCO Valentin,172,4,2
Argentina,FW,ALVAREZ Julian,170,51,14
Argentina,FW,MESSI Lionel,170,199,117
Argentina,MF,LO CELSO Giovani,177,67,4
Argentina,GK,RULLI Geronimo,189,8,0
Argentina,DF,ROMERO Cristian,185,51,3
Argentina,MF,PALACIOS Exequiel,177,40,0
Argentina,MF,GONZALEZ Nico,180,51,6
Argentina,FW,ALMADA Thiago,171,16,5
Argentina,FW,SIMEONE Giuliano,174,13,2
Argentina,FW,PAZ Nico,185,9,1
Argentina,DF,OTAMENDI Nicolas,182,132,8
Argentina,MF,MAC ALLISTER Alexis,176,46,6
Argentina,FW,LOPEZ Jose Manuel,190,5,0
Argentina,FW,MARTINEZ Lautaro,175,77,37
Argentina,GK,MARTINEZ Emiliano,195,59,0
Argentina,MF,FERNANDEZ Enzo,178,42,6
Argentina,DF,MEDINA Facundo,184,9,0
Argentina,DF,MOLINA Nahuel,179,58,1
Australia,GK,RYAN Mathew,184,104,0
Australia,DF,DEGENEK Milos,187,57,1
Australia,DF,CIRCATI Alessandro,191,13,1
Australia,DF,ITALIANO Jacob,177,5,0
Australia,DF,BOS Jordan,180,27,4
Australia,DF,GERIA Jason,181,14,0
Australia,FW,LECKIE Mathew,181,81,14
Australia,MF,METCALFE Connor,183,36,1
Australia,FW,TOURE Mohamed,186,10,2
Australia,FW,HRUSTIC Ajdin,180,37,3
Australia,FW,MABIL Awer,178,38,10
Australia,GK,IZZO Paul,184,4,0
Australia,MF,ONEILL Aiden,180,31,0
Australia,MF,DEVLIN Cameron,170,5,0
Australia,DF,TREWIN Kai,183,6,0
Australia,DF,BEHICH Aziz,170,84,3
Australia,FW,IRANKUNDA Nestory,165,15,5
Australia,GK,BEACH Patrick,189,2,0
Australia,DF,SOUTTAR Harry,198,38,11
Australia,FW,VOLPATO Cristian,187,1,0
Australia,DF,BURGESS Cameron,194,27,0
Australia,MF,IRVINE Jackson,189,82,14
Australia,FW,VELUPILLAY Nishan,181,7,3
Australia,MF,OKON-ENGSTLER Paul,185,6,0
Australia,DF,HERRINGTON Lucas,193,4,0
Australia,FW,YENGI Tete,197,1,1
Belgium,GK,COURTOIS Thibaut,199,109,0
Belgium,DF,DEBAST Zeno,189,26,1
Belgium,DF,THEATE Arthur,185,33,1
Belgium,DF,MECHELE Brandon,190,9,1
Belgium,DF,DE CUYPER Maxim,182,19,4
Belgium,MF,WITSEL Axel,186,138,12
Belgium,MF,DE BRUYNE Kevin,181,119,37
Belgium,MF,TIELEMANS Youri,176,85,13
Belgium,FW,LUKAKU Romelu,190,126,90
Belgium,FW,TROSSARD Leandro,172,51,12
Belgium,FW,DOKU Jeremy,173,43,7
Belgium,GK,LAMMENS Senne,193,2,0
Belgium,GK,PENDERS Mike,200,0,0
Belgium,FW,LUKEBAKIO Dodi,184,30,6
Belgium,DF,MEUNIER Thomas,190,80,10
Belgium,DF,DE WINTER Koni,191,8,0
Belgium,FW,DE KETELAERE Charles,192,30,6
Belgium,DF,SEYS Joaquin,178,5,0
Belgium,MF,MOREIRA Diego,179,3,0
Belgium,MF,VANAKEN Hans,195,34,7
Belgium,DF,CASTAGNE Timothy,185,63,2
Belgium,MF,SAELEMAEKERS Alexis,180,24,2
Belgium,MF,RASKIN Nicolas,178,13,2
Belgium,MF,ONANA Amadou,192,29,1
Belgium,DF,NGOY Nathan,183,4,0
Belgium,FW,FERNANDEZ-PARDO Matias,188,2,0
Brazil,GK,ALISSON,193,78,0
Brazil,MF,EDERSON SILVA,184,3,0
Brazil,DF,GABRIEL MAGALHAES,190,17,1
Brazil,DF,MARQUINHOS,183,105,7
Brazil,MF,CASEMIRO,185,86,9
Brazil,DF,ALEX SANDRO,180,45,2
Brazil,FW,VINICIUS JUNIOR,176,49,9
Brazil,MF,BRUNO GUIMARAES,182,43,3
Brazil,FW,MATHEUS CUNHA,183,23,1
Brazil,FW,NEYMAR JR,175,128,79
Brazil,FW,RAPHINHA,176,39,11
Brazil,GK,WEVERTON,189,11,0
Brazil,DF,DANILO,184,70,1
Brazil,DF,BREMER,188,8,1
Brazil,DF,LEO PEREIRA,189,4,0
