CLUB,Avg_Caps,Total_International_Goals,Avg_Height,Squad_Size
1. FC Union Berlin (GER),3.0,0.0,188.0,1
1. FSV Mainz 05 (GER),60.0,5.0,183.0,1
160,5.0,0.0,55.0,1
165,7.0,0.0,141.0,1
166,1.0,0.0,9.0,1
167,8.0,0.0,32.0,1
168,1.6666666666666667,0.0,19.666666666666668,3
169,1.0,0.0,22.5,2
170,1.8,0.0,54.8,5
171,4.0,0.0,43.142857142857146,7
172,7.444444444444445,0.0,52.333333333333336,9
173,2.25,0.0,21.083333333333332,12
174,4.636363636363637,0.0,38.0,11
175,3.923076923076923,0.0,36.84615384615385,13
176,3.7142857142857144,0.0,21.857142857142858,7
177,9.8125,0.0,44.5625,16
178,5.62962962962963,0.0,41.851851851851855,27
179,3.1666666666666665,0.0,28.75,12
180,4.7,0.0,43.766666666666666,30
181,6.333333333333333,0.0,33.6,15
182,2.2857142857142856,0.0,22.357142857142858,14
183,4.733333333333333,0.0,32.733333333333334,30
184,4.076923076923077,0.0,44.07692307692308,13
185,3.36,0.0,32.08,25
186,3.7058823529411766,0.0,28.11764705882353,17
187,1.3333333333333333,0.0,21.72222222222222,18
188,3.1666666666666665,0.0,33.75,24
189,1.5333333333333334,0.0,23.266666666666666,15
190,3.8518518518518516,0.0,33.888888888888886,27
191,5.733333333333333,0.0,34.0,15
192,13.636363636363637,0.0,46.18181818181818,11
193,3.4166666666666665,0.0,42.416666666666664,12
194,7.6,0.0,17.2,5
195,0.3333333333333333,0.0,23.0,3
196,0.6666666666666666,0.0,16.5,6
197,1.0,0.0,29.0,1
198,1.3333333333333333,0.0,8.0,3
199,7.0,0.0,22.0,1
200,4.0,0.0,22.0,1
201,0.0,0.0,5.0,1
205,0.0,0.0,1.0,1
AC Milan (ITA),39.5,53.0,184.875,8
AC Omonia (CYP),38.0,3.0,185.0,1
AE Ki sia FC (GRE),27.0,4.0,164.0,1
AEK Athens (GRE),92.0,12.0,169.0,1
AEK Larnaca FC (CYP),27.0,2.0,172.0,1
AEL FC (GRE),23.0,6.0,179.5,2
AEL Limassol (CYP),153.0,0.0,185.0,1
AFC Ajax (NED),52.0,14.0,197.0,1
AFC Bournemouth (ENG),22.666666666666668,3.0,178.33333333333334,3
AIK Stockholm (SWE),21.0,0.0,190.0,1
AJ Auxerre (FRA),20.666666666666668,0.0,180.33333333333334,3
APOEL FC (CYP),57.0,1.0,187.0,1
AS Monaco (FRA),39.5,27.0,178.83333333333334,6
AS Roma (ITA),28.0,15.0,185.0,4
AS Saint-Etienne (FRA),0.0,0.0,178.0,1
ASFAR (MAR),3.0,0.0,194.0,1
AZ Alkmaar (NED),10.0,0.0,178.0,1
Aarhus GF (DEN),9.0,0.0,180.0,1
Abha Club (KSA),60.0,1.0,183.0,1
Al Ahli FC (KSA),49.75,70.0,182.625,8
Al Ahly FC (EGY),43.333333333333336,30.0,181.44444444444446,9
Al Ain FC (UAE),39.333333333333336,24.0,176.0,3
Al Arabi SC (QAT),22.666666666666668,0.0,177.0,3
Al Bataeh Club (UAE),32.0,2.0,185.0,1
Al Dhafra SCC (UAE),76.0,8.0,180.0,1
Al Duhail SC (QAT),45.42857142857143,69.0,180.42857142857142,7
Al Ettifaq FC (KSA),7.0,0.0,171.0,1
Al Faisaly SC (JOR),7.666666666666667,0.0,179.66666666666666,3
Al Fateh SC (KSA),17.0,1.0,185.0,1
Al Gharafa SC (QAT),32.0,18.0,182.66666666666666,3
Al Hilal SC (KSA),56.5,58.0,181.75,12
Al Hussein SC (JOR),51.285714285714285,12.0,180.71428571428572,7
Al Ittihad (KSA),34.0,25.0,181.5,4
Al Ittihad Kalba SCC (UAE),44.5,5.0,182.5,2
Al Jazira (UAE),15.0,2.0,189.0,1
Al Karma SC (IRQ),53.75,37.0,181.75,4
Al Najmah SC (KSA),24.0,2.0,178.5,2
Al Nasr SC (UAE),30.0,10.0,166.0,1
Al Nassr FC (KSA),69.66666666666667,223.0,179.66666666666666,9
Al Qadsiah FC (KSA),15.5,8.0,176.0,6
Al Rayyan SC (QAT),63.0,22.0,181.0,4
Al Sadd SC (QAT),124.8,104.0,179.0,5
Al Sailiya SC (QAT),66.0,29.0,182.0,1
Al Shabab FC (KSA),4.0,0.0,178.0,1
Al Shamal SC (QAT),11.0,0.0,180.0,1
Al Shorta SC (IRQ),22.333333333333332,1.0,183.0,3
Al Talaba SC (IRQ),11.333333333333334,1.0,185.66666666666666,3
Al Ula Saudi FC (KSA),65.0,0.0,185.0,1
Al Wahda SC (UAE),16.0,0.0,190.0,1
Al Wahdat SC (JOR),14.5,1.0,187.5,2
Al Wakrah SC (QAT),50.0,9.0,175.25,4
Al Zawra'a SC (IRQ),50.5,4.0,183.25,4
Al-Quwa Al-Jawiya (IRQ),30.0,1.0,173.0,1
Alanyaspor (TUR),68.0,12.0,173.0,1
Albirex Niigata (JPN),14.0,0.0,181.0,1
Angers SCO (FRA),2.0,0.0,175.0,1
Apollon Limassol (CYP),61.0,10.0,173.0,1
Argentina,0.0,0.0,180.0,1
Aris Limassol FC (CYP),28.0,0.0,178.0,1
Arsenal FC (ENG),37.4,67.0,182.2,10
Aston Villa FC (ENG),45.5,26.0,184.375,8
Atalanta Bergamo (ITA),28.166666666666668,8.0,186.33333333333334,6
Athletic Club (ESP),26.0,2.0,186.0,1
Athletico Paranaense (BRA),10.0,0.0,181.0,1
Atlanta United FC (USA),45.5,13.0,176.5,2
Atlas FC (MEX),42.0,0.0,183.0,1
Atlético De Madrid (ESP),41.111111111111114,63.0,180.44444444444446,9
Atlético Mineiro (BRA),71.0,3.0,184.0,1
Atlético Nacional (COL),130.0,0.0,183.0,1
Atromitos FC (GRE),58.0,0.0,176.0,1
Austin FC (USA),15.0,2.0,170.0,1
Australia,0.0,0.0,180.0,0
BSC Young Boys (SUI),16.0,8.0,185.0,4
Barnsley (ENG),0.0,0.0,193.0,1
Bayer 04 Leverkusen (GER),20.4,5.0,185.8,5
Başakşehir FK (TUR),10.666666666666666,3.0,187.33333333333334,3
Belgium,0.0,0.0,180.0,0
Beşiktaş JK (TUR),21.0,2.0,185.0,1
Bologna FC (ITA),46.666666666666664,12.0,186.66666666666666,3
Borussia Dortmund (GER),39.75,10.0,188.0,4
Borussia Mönchengladbach (GER),43.666666666666664,12.0,186.66666666666666,3
Botafogo (BRA),4.0,2.0,177.0,1
Brentford FC (ENG),49.0,7.0,190.33333333333334,3
Brighton & Hove Albion FC (ENG),20.0,11.0,184.66666666666666,6
Burnley FC (ENG),25.0,13.0,183.75,4
CA Boca Juniors (ARG),77.0,5.0,182.0,1
CA Independiente (ARG),45.5,2.0,181.0,2
CA Lanús (ARG),2.0,0.0,192.0,1
CA River Plate (ARG),39.0,9.0,175.25,4
CA Rosario Central (ARG),10.0,1.0,166.0,1
CA San Lorenzo (ARG),6.0,0.0,190.0,1
CA Talleres (ARG),2.0,1.0,173.0,1
CA Vélez Sars eld (ARG),12.0,0.0,201.0,1
CD Castellón (ESP),23.0,10.0,175.0,2
CD Guadalajara (MEX),31.6,13.0,181.8,5
CF Cruz Azul (MEX),15.0,0.0,175.5,2
CF Estrela Da Amadora (POR),29.0,3.0,174.0,1
CF Monterrey (MEX),8.0,0.0,185.0,1
CLUB,0.0,0.0,180.0,38
CR Flamengo (BRA),40.875,36.0,179.25,8
CR Vasco Da Gama (BRA),8.0,2.0,170.0,1
CS Independiente Rivadavia (ARG),15.0,1.0,188.0,1
CS Sfaxien (TUN),37.0,0.0,188.0,1
Cabo Verde,0.0,0.0,180.0,0
Cagliari (ITA),54.0,8.0,195.0,1
Casa Pia AC (POR),22.0,7.0,185.0,1
Celtic FC (SCO),22.25,5.0,184.75,4
Cercle Brugge (BEL),29.0,6.0,182.0,1
Cerro Porteño (PAR),21.5,1.0,190.0,2
Charlotte FC (USA),81.0,1.0,186.0,1
Chelsea FC (ENG),19.666666666666668,10.0,181.16666666666666,6
Chicago Fire FC (USA),9.0,0.0,189.0,2
Club Africain (TUN),16.5,6.0,187.0,2
Club América (MEX),26.0,8.0,175.75,4
Club Brugge (BEL),14.25,12.0,190.0,4
Club Olimpia (PAR),1.0,0.0,191.0,1
Club Santos Laguna (MEX),7.0,0.0,185.0,1
Club Tijuana (MEX),8.0,0.0,175.0,1
Colorado Rapids (USA),4.0,0.0,193.0,1
Columbus Crew (USA),20.0,1.0,181.5,2
Como (ITA),7.0,1.0,185.0,2
Coventry City FC (ENG),14.0,8.0,186.5,2
Croatia,0.0,0.0,180.0,0
Crystal Palace FC (ENG),29.8,43.0,187.3,10
Cultural Leonesa (ESP),76.0,3.0,188.0,1
Czech Republic,0.0,0.0,180.0,0
Côte D'Ivoire,0.0,0.0,180.0,0
Deportivo Toluca FC (MEX),87.0,10.0,174.5,2
Derby County FC (ENG),3.0,0.0,193.5,2
Dibba FC (UAE),72.0,26.0,183.0,1
Egypt,0.0,0.0,180.0,1
Eintracht Frankfurt (GER),31.2,8.0,185.2,5
El Gouna FC (EGY),0.0,0.0,188.0,1
England,0.0,0.0,180.0,0
Espérance De Tunisie (TUN),21.5,2.0,183.5,2
Esteghlal Tehran FC (IRN),21.0,4.0,185.0,3
Estudiantes LP (ARG),134.0,0.0,190.0,1
Everton FC (ENG),87.0,11.0,179.66666666666666,3
FC Akron Tolyatti (RUS),21.0,6.0,187.0,1
FC Augsburg (GER),22.5,3.0,180.5,2
FC Barcelona (ESP),46.0,44.0,179.28571428571428,7
FC Bayern München (GER),48.0,133.0,184.14285714285714,7
FC Cincinnatti (USA),40.0,3.0,187.0,1
FC Dallas (USA),3.0,0.0,190.0,1
FC Den Bosch (NED),19.0,1.0,174.0,1
FC Dynamo Makhachkala (RUS),19.0,4.0,191.0,1
FC Dynamo Moscow (RUS),31.0,5.0,182.5,2
FC FCSB (ROU),41.0,1.0,180.0,1
FC Internazionale Milano (ITA),53.0,55.0,186.4,5
