team,games,avg_goals_for,avg_goals_against,win_rate
France,61,1.7704918032786885,1.180327868852459,0.47540983606557374
Mexico,54,1.0740740740740742,1.7407407407407407,0.25925925925925924
USA,34,1.1176470588235294,1.8823529411764706,0.23529411764705882
Belgium,43,1.255813953488372,1.5813953488372092,0.3488372093023256
Yugoslavia,37,1.6216216216216217,1.2432432432432432,0.43243243243243246
Brazil,108,2.0833333333333335,1.0555555555555556,0.6574074074074074
Romania,21,1.4285714285714286,1.5238095238095237,0.38095238095238093
Peru,15,1.2666666666666666,2.066666666666667,0.26666666666666666
Argentina,81,1.6419753086419753,1.0493827160493827,0.5432098765432098
Chile,34,1.2058823529411764,1.4705882352941178,0.3235294117647059
Bolivia,6,0.16666666666666666,3.3333333333333335,0.0
Paraguay,27,1.1111111111111112,1.4074074074074074,0.25925925925925924
Uruguay,52,1.5384615384615385,1.4038461538461537,0.38461538461538464
Austria,29,1.4827586206896552,1.6206896551724137,0.41379310344827586
Hungary,32,2.71875,1.78125,0.46875
Egypt,4,0.75,1.5,0.0
Switzerland,34,1.3235294117647058,1.7647058823529411,0.3235294117647059
Netherlands,54,1.6851851851851851,0.9074074074074074,0.5370370370370371
Sweden,46,1.608695652173913,1.5,0.34782608695652173
Germany,46,2.1739130434782608,0.9565217391304348,0.6956521739130435
Spain,59,1.5593220338983051,1.11864406779661,0.4915254237288136
Italy,83,1.5421686746987953,0.927710843373494,0.5421686746987951
Czechoslovakia,30,1.4666666666666666,1.5,0.36666666666666664
Dutch East Indies,1,0.0,6.0,0.0
Cuba,3,1.6666666666666667,4.0,0.3333333333333333
Norway,8,0.875,1.0,0.25
Poland,31,1.4193548387096775,1.2903225806451613,0.4838709677419355
England,62,1.2741935483870968,0.9032258064516129,0.41935483870967744
Scotland,23,1.0869565217391304,1.7826086956521738,0.17391304347826086
Germany FR,62,2.1129032258064515,1.2419354838709677,0.5806451612903226
Turkey,10,2.0,1.7,0.5
Korea Republic,31,1.0,2.161290322580645,0.16129032258064516
Soviet Union,31,1.7096774193548387,1.096774193548387,0.4838709677419355
Wales,5,0.8,0.8,0.2
Northern Ireland,13,1.0,1.7692307692307692,0.23076923076923078
Colombia,20,1.45,1.45,0.4
Bulgaria,26,0.8461538461538461,2.0384615384615383,0.11538461538461539
Korea DPR,7,0.8571428571428571,3.0,0.14285714285714285
Portugal,26,1.6538461538461537,1.1153846153846154,0.5
Israel,3,0.3333333333333333,1.0,0.0
Morocco,13,0.9230769230769231,1.3846153846153846,0.15384615384615385
El Salvador,6,0.16666666666666666,3.6666666666666665,0.0
German DR,6,0.8333333333333334,0.8333333333333334,0.3333333333333333
Australia,13,0.8461538461538461,2.0,0.15384615384615385
Zaire,3,0.0,4.666666666666667,0.0
Haiti,3,0.6666666666666666,4.666666666666667,0.0
Tunisia,12,0.6666666666666666,1.4166666666666667,0.08333333333333333
IR Iran,6,0.3333333333333333,1.6666666666666667,0.0
Iran,6,0.8333333333333334,2.0,0.16666666666666666
Cameroon,23,0.782608695652174,1.8695652173913044,0.17391304347826086
New Zealand,6,0.6666666666666666,2.3333333333333335,0.0
Algeria,12,1.0,1.4166666666666667,0.25
Honduras,9,0.3333333333333333,1.5555555555555556,0.0
Kuwait,3,0.6666666666666666,2.0,0.0
Canada,3,0.0,1.6666666666666667,0.0
Iraq,3,0.3333333333333333,1.3333333333333333,0.0
Denmark,16,1.6875,1.5,0.5
"rn"">United Arab Emirates",3,0.6666666666666666,3.6666666666666665,0.0
Costa Rica,17,1.0588235294117647,1.411764705882353,0.29411764705882354
"rn"">Republic of Ireland",13,0.7692307692307693,0.7692307692307693,0.15384615384615385
Saudi Arabia,13,0.6923076923076923,2.4615384615384617,0.15384615384615385
Russia,9,1.4444444444444444,1.4444444444444444,0.2222222222222222
Greece,11,0.5454545454545454,1.9090909090909092,0.18181818181818182
Nigeria,19,1.0526315789473684,1.4736842105263157,0.2631578947368421
South Africa,9,1.2222222222222223,1.7777777777777777,0.2222222222222222
Japan,17,0.8235294117647058,1.2941176470588236,0.23529411764705882
Jamaica,3,1.0,3.0,0.3333333333333333
Croatia,16,1.3125,1.0625,0.4375
Senegal,5,1.4,1.2,0.4
Slovenia,6,0.8333333333333334,1.6666666666666667,0.16666666666666666
Ecuador,10,1.0,1.1,0.4
China PR,3,0.0,3.0,0.0
"rn"">Trinidad and Tobago",3,0.0,1.3333333333333333,0.0
C�te d'Ivoire,9,1.4444444444444444,1.5555555555555556,0.3333333333333333
"rn"">Serbia and Montenegro",3,0.6666666666666666,3.3333333333333335,0.0
Angola,3,0.3333333333333333,0.6666666666666666,0.0
Czech Republic,3,1.0,1.3333333333333333,0.3333333333333333
Ghana,12,1.0833333333333333,1.3333333333333333,0.3333333333333333
Togo,3,0.3333333333333333,2.0,0.0
Ukraine,5,1.0,1.4,0.4
Serbia,3,0.6666666666666666,1.0,0.3333333333333333
Slovakia,4,1.25,1.75,0.25
"rn"">Bosnia and Herzegovina",3,1.3333333333333333,1.3333333333333333,0.3333333333333333
